date,emissions_24h,emissions_365d,intensity
2017-04-10,0.0009523083550587,0.347109890434295,0.484
2017-04-11,0.0009838465577971,0.3500702703127435,0.484
2017-04-12,0.0009777710842509,0.3513392742759377,0.484
2017-04-13,0.0009591783015904,0.3519817294414581,0.484
2017-04-14,0.0010451315087253,0.3563304635543466,0.484
2017-04-15,0.0010148973059476,0.3588535385341023,0.484
2017-04-16,0.00103247165962,0.3632065345916508,0.484
2017-04-17,0.0010480825887218,0.3682004767755154,0.484
2017-04-18,0.0010697207482381,0.3726782024199335,0.484
2017-04-19,0.0010580847766575,0.376865987809703,0.484
2017-04-20,0.0010690078031056,0.3825928118172823,0.484
2017-04-21,0.0010964527549327,0.3852688482266703,0.484
2017-04-22,0.0011013087368486,0.3897745871236514,0.484
2017-04-23,0.0011270857236963,0.3947080347504885,0.484
2017-04-24,0.0010888223646546,0.3968323230669801,0.484
2017-04-25,0.001137307539238,0.4003564914548357,0.484
2017-04-26,0.0011220074403463,0.4036896017757511,0.484
2017-04-27,0.0011391440523111,0.4073467061986101,0.484
2017-04-28,0.0012092008880319,0.4132257159959253,0.484
2017-04-29,0.0012367866342258,0.4202899206448797,0.484
2017-04-30,0.0012085514475086,0.424537776243661,0.484
2017-05-01,0.0012227394680889,0.4315205966370226,0.484
2017-05-02,0.0012249577335631,0.436090928198262,0.484
2017-05-03,0.0012444938691327,0.4424777205564132,0.484
2017-05-04,0.0012259318287534,0.4470030831851873,0.484
2017-05-05,0.0012893117864578,0.4511802943173937,0.484
2017-05-06,0.0012865216445434,0.4537736198553805,0.484
2017-05-07,0.0013100004012431,0.4590634581572552,0.484
2017-05-08,0.0012900298615468,0.4625721715304183,0.484
2017-05-09,0.0013493320598532,0.4690574042583978,0.484
2017-05-10,0.0013359580624899,0.4738266086263084,0.484
2017-05-11,0.0013592327894709,0.4807773015780093,0.484
2017-05-12,0.0014066536002713,0.4868958390125695,0.484
2017-05-13,0.0013730505946357,0.4914077056959548,0.484
2017-05-14,0.001416419760742,0.4969567151555366,0.484
2017-05-15,0.0014656066083988,0.5061117883842474,0.484
