date,emissions_24h_mt,emissions_365d_mt,intesity_kgCO2e/kWh
2016-12-29,0.0087685778103507,3.164419652250685,0.494
2016-12-30,0.0088407534918134,3.179620219676646,0.494
2016-12-31,0.0089602743807646,3.2040420474060505,0.494
2017-01-01,0.008737090066378,3.1508902080627283,0.484
2017-01-02,0.0089044759636769,3.1750906366165146,0.484
2017-01-03,0.0090006268442462,3.1967743703813563,0.484
2017-01-04,0.0089330292938541,3.212364039643244,0.484
2017-01-05,0.0088508454514105,3.225909148772009,0.484
2017-01-06,0.008883717947625,3.237481060649542,0.484
2017-01-07,0.0088015393089959,3.238661939972612,0.484
2017-01-08,0.0088919399745396,3.246736256612464,0.484
2017-01-09,0.0087029218203523,3.236226647710536,0.484
2017-01-10,0.0086799886098381,3.219507654059257,0.484
2017-01-11,0.0087560267473539,3.2102782355631767,0.484
2017-01-12,0.0091044845740942,3.223503704103116,0.484
2017-01-13,0.0090886337551185,3.2341885997795625,0.484
2017-01-14,0.0094535252280589,3.268185008416417,0.484
2017-01-15,0.0095365156617504,3.3017950263924147,0.484
2017-01-16,0.0098917020206429,3.3637814225504283,0.484
2017-01-17,0.0099438494457761,3.429682737567192,0.484
2017-01-18,0.0099177054817137,3.490255985858811,0.484
2017-01-19,0.0099351382602983,3.533568642353737,0.484
2017-01-20,0.0102750254045524,3.595430492645646,0.484
2017-01-21,0.010353462500554,3.642355793282893,0.484
2017-01-22,0.0104333254417294,3.689118017524649,0.484
2017-01-23,0.0103632925061499,3.713708092840368,0.484
2017-01-24,0.0105009438073794,3.742756584552545,0.484
2017-01-25,0.0107083158153183,3.783981266233353,0.484
2017-01-26,0.0107675196129173,3.827384008191346,0.484
2017-01-27,0.0108484753551383,3.857285327043323,0.484
2017-01-28,0.0108161804823335,3.881412764664684,0.484
2017-01-29,0.0109785134757501,3.909840426438629,0.484
2017-01-30,0.0110395073855381,3.945100202292444,0.484
2017-01-31,0.0109988499828273,3.9710624528693694,0.484
2017-02-01,0.0114359599934383,4.0090038992999135,0.484
2017-02-02,0.0111063703041705,4.02667254248669,0.484
2017-02-03,0.0105608094126019,4.011672818340151,0.484
2017-02-04,0.0101632590109459,3.977627627332079,0.484
2017-02-05,0.0098213511768695,3.9172898788904473,0.484
2017-02-06,0.0094233489257515,3.8330187592015736,0.484
2017-02-07,0.0092368638165112,3.7411437662436606,0.484
2017-02-08,0.0085299797996652,3.589617656139777,0.484
2017-02-09,0.0087249072591858,3.4654413687941457,0.484
2017-02-10,0.0087957471271295,3.3734059781945147,0.484
2017-02-11,0.0088333366234713,3.3040600251333414,0.484
2017-02-12,0.0086713345074822,3.24409487022957,0.484
2017-02-13,0.0089953346766095,3.2217769843814525,0.484
2017-02-14,0.0091488088686016,3.2171855478118774,0.484
2017-02-15,0.0090891215263235,3.246340794987629,0.484
2017-02-16,0.0089356473343315,3.2573293846202214,0.484
2017-02-17,0.0089697549674691,3.266402650580782,0.484
2017-02-18,0.0091066486650198,3.280653921318667,0.484
2017-02-19,0.0091058523462473,3.303310922911421,0.484
2017-02-20,0.0090335823547939,3.305305266131031,0.484
2017-02-21,0.0088211318194278,3.2882192485669712,0.484
2017-02-22,0.0088644743126156,3.276505500995062,0.484
2017-02-23,0.0089123225074293,3.275289277878024,0.484
2017-02-24,0.00907590100956,3.280824035787049,0.484
2017-02-25,0.009240511475814,3.2878040252070337,0.484
2017-02-26,0.0096322109291548,3.3152498656014973,0.484
2017-02-27,0.0095966041040425,3.344607428240891,0.484
2017-02-28,0.0097301378239154,3.3920055984748902,0.484
2017-03-01,0.0097835521244348,3.439928941519749,0.484
2017-03-02,0.0098458681312322,3.488606677618041,0.484
2017-03-03,0.0097555956475295,3.524047898026457,0.484
2017-03-04,0.0094973120913861,3.5374382158384337,0.484
2017-03-05,0.0092806890081664,3.5191088585297488,0.484
2017-03-06,0.009320212421527,3.5046970065128686,0.484
2017-03-07,0.0093819799434556,3.486543059888892,0.484
2017-03-08,0.0094215033568163,3.467664802720209,0.484
2017-03-09,0.0094011362853548,3.444475213613744,0.484
2017-03-10,0.0094920750766019,3.4307344981296573,0.484
2017-03-11,0.0096502743641673,3.438710388067531,0.484
2017-03-12,0.0097247220436924,3.461863539205676,0.484
2017-03-13,0.0097526378920889,3.484411438742118,0.484
2017-03-14,0.0097805578033363,3.50519442715018,0.484
2017-03-15,0.0097805578033363,3.5239165518615803,0.484
2017-03-16,0.009827085571614,3.546126764645096,0.484
2017-03-17,0.0098383356057007,3.564181777948108,0.484
2017-03-18,0.009960143937934,3.580339262865944,0.484
2017-03-19,0.0101029775234713,3.600062584311557,0.484
2017-03-20,0.0100602485207664,3.616102281378309,0.484
2017-03-21,0.0099727997184252,3.626126324093661,0.484
2017-03-22,0.0101789609606291,3.646900203009644,0.484
2017-03-23,0.0101770757978207,3.665149693376137,0.484
2017-03-24,0.0104050342349958,3.6946989790465214,0.484
2017-03-25,0.0101744511961523,3.705873571796473,0.484
2017-03-26,0.0101840557756326,3.710101223516312,0.484
2017-03-27,0.0101456252691587,3.714553011111054,0.484
2017-03-28,0.0102705213680607,3.730077068556336,0.484
2017-03-29,0.0100687642562108,3.7243310975402406,0.484
2017-03-30,0.0098337242766328,3.7064277682211553,0.484
2017-03-31,0.0091522229967624,3.6411026107989857,0.484
2017-04-01,0.0088614170482319,3.572637258800284,0.484
2017-04-02,0.0084006576035052,3.479645782682216,0.484
2017-04-03,0.0083957577771463,3.388402692027288,0.484
2017-04-04,0.0078038126524247,3.2597814518548365,0.484
2017-04-05,0.0076407746434434,3.1331791363319645,0.484
2017-04-06,0.0075090332769801,3.0119631056357865,0.484
2017-04-07,0.0079860260171337,2.9511542631265733,0.484
2017-04-08,0.0082560615531041,2.9195892980234777,0.484
2017-04-09,0.0085808646906017,2.9289858104220805,0.484
2017-04-10,0.0086663575285663,2.943095654603265,0.484
2017-04-11,0.0093014345263282,3.0211859380282315,0.484
2017-04-12,0.0094415422120005,3.1150831041029945,0.484
2017-04-13,0.0095960126213936,3.2239041699188453,0.484
2017-04-14,0.0094390242792406,3.299667650728708,0.484
2017-04-15,0.0096166303867203,3.370611597052979,0.484
2017-04-16,0.0095541158149845,3.4213596913957947,0.484
2017-04-17,0.0095251970070688,3.4661420356319987,0.484
2017-04-18,0.0093892771321543,3.470722400078647,0.484
2017-04-19,0.0094540526020051,3.47137472755746,0.484
2017-04-20,0.0095643157164478,3.4697219603709977,0.484
2017-04-21,0.0098321139261824,3.490218777675821,0.484
2017-04-22,0.0097842914979163,3.498961107045325,0.484
2017-04-23,0.0098512428974889,3.5144541620616283,0.484
2017-04-24,0.0097173400983436,3.524473051820955,0.484
2017-04-25,0.0097364690696501,3.542576631418949,0.484
2017-04-26,0.0098321139261824,3.5622898290367666,0.484
2017-04-27,0.0099210832224307,3.580892706134448,0.484
2017-04-28,0.0096275026467733,3.570223689422402,0.484
2017-04-29,0.0098990099115856,3.5762054352780184,0.484
2017-04-30,0.0098831134334991,3.5778672560842653,0.484
2017-05-01,0.0101349966937574,3.5996450642737003,0.484
2017-05-02,0.0102340218146284,3.625588885976143,0.484
2017-05-03,0.0100359974328322,3.636219954537168,0.484
2017-05-04,0.0102375535443636,3.65272162132367,0.484
2017-05-05,0.0101704543736723,3.681032675654833,0.484
2017-05-06,0.0101225248113452,3.6926873811422976,0.484
2017-05-07,0.0102758964553698,3.71316821013984,0.484
2017-05-08,0.0105634701350549,3.7355100395789207,0.484
2017-05-09,0.0105347138753697,3.751188982746149,0.484
2017-05-10,0.0107815876947066,3.7900661892581686,0.484
2017-05-11,0.0105594581491841,3.80685121508095,0.484
2017-05-12,0.0109065577297308,3.845233747218282,0.484
2017-05-13,0.0109209506366852,3.886865950968153,0.484
2017-05-14,0.011006628331266,3.924968398782744,0.484
2017-05-15,0.0110293924720908,3.949262920642472,0.484
2017-05-16,0.0109010273956161,3.968363554198174,0.484
2017-05-17,0.0109827817669973,3.978854387967621,0.484
2017-05-18,0.0115063672799273,4.028228935499228,0.484
2017-05-19,0.0121307649489494,4.092062597644202,0.484
2017-05-20,0.0127274923943838,4.186260846438487,0.484
2017-05-21,0.0130201754527983,4.291252946346957,0.484
2017-05-22,0.0132376911190691,4.406399947225113,0.484
2017-05-23,0.0142441815395923,4.580721556161015,0.484
2017-05-24,0.014856775593668,4.782722662837413,0.484
2017-05-25,0.0152804087383657,4.979511967455991,0.484
2017-05-26,0.0152645634870467,5.142917176942489,0.484
2017-05-27,0.0154501744514447,5.28488559848924,0.484
2017-05-28,0.0158351473111017,5.431666273957915,0.484
2017-05-29,0.0160329904612709,5.577421168229863,0.484
2017-05-30,0.0162338227339415,5.681166744792362,0.484
2017-05-31,0.0163771023065374,5.760440923391981,0.484
2017-06-01,0.0164773975236777,5.822855338626102,0.484
2017-06-02,0.0163770974697695,5.880866039153791,0.484
2017-06-03,0.0167209723134138,5.947129070527891,0.484
2017-06-04,0.0167990957869502,5.997392098197133,0.484
2017-06-05,0.0173120059917354,6.064083622285641,0.484
2017-06-06,0.017211565671561,6.115065932604369,0.484
2017-06-07,0.0175545312028585,6.17646043934111,0.484
2017-06-08,0.0178115280232449,6.246025815389972,0.484
2017-06-09,0.0181839204498491,6.34023872792269,0.484
2017-06-10,0.0177340188192194,6.393061867153986,0.484
2017-06-11,0.017674454023739,6.438705546643684,0.484
